Country,Area
Cote D'Ivoire,2748357
Indonesia,1727400
Ghana,1683765
Nigeria,1374399
Brazil,704122
Cameroon,670000
Ecuador,372637
Colombia,160276
Dominican Republic,150943
Papua New Guinea,110371
Peru,106635
India,71000
Venezuela,63025
Mexico,59624
Liberia,52900
Uganda,51914
Sierra Leone,44000
Togo,32813
Haiti,29862
Republic of the Congo,26102
Sao Tome and Principe,23033
Guinea,20000
Malaysia,16102
Bolivia,14185
Solomon Islands,12200
Phillipines,12035
Madagascar ,10204
Democratic Republic of Congo,9549
Tanzania,7900
Equatorial Guinea,6662
Nicaragua,6600
Panama,5496
Costa Rica,4750
Trinidad and Tobago,4700
Guatemala,4403
Cuba,4155
Jamaica,3800
Gabon,3300
Vanuatu,3242
Dominican Republic,2806
Angola,2695
Central African Republic,2652
Anguilla,2603
Samoa,3585
Sri Lanka,2174
Honduras,1909
Timor-Leste,1624
Grenada,1290
Guyana,1173
Saint Vincent and the Grenadines,773
Belize,709
El Salvador,692
Fiji,200
Suriname,164
Comoros,122
Federated States of Micronesia,82
Tonga,50
Thailand,42
Saint Lucia,30
American Samoa,18
