country_origin_id,country_destination_id,export_val
BEN,ALL,38761
BFA,ALL,7593.85
CAF,ALL,3188
CIV,ALL,143628979.5
CMR,ALL,13379443.09
COD,ALL,9492
COG,ALL,8609.45
CPV,ALL,66125
DJI,ALL,56021.36
DZA,ALL,109566.91
EGY,ALL,127180699
GAB,ALL,226921.04
GHA,ALL,808647.4
KEN,ALL,2613256.08
LBY,ALL,2170.59
MAR,ALL,5442210.52
MDG,ALL,1448740.11
MLI,ALL,8568
MOZ,ALL,76558
MRT,ALL,28524
MUS,ALL,147968.32
NER,ALL,703414
NGA,ALL,358453.13
RWA,ALL,75491
SDN,ALL,9850
SEN,ALL,5199415.85
SHN,ALL,1095.84
SLE,ALL,1899.81
STP,ALL,521508.83
SYC,ALL,7142.1
TGO,ALL,239278.43
TUN,ALL,9126155.41
TZA,ALL,92268.22
UGA,ALL,244175.06
ZAF,ALL,48049986.45
ZMB,ALL,573159.32
ZWE,ALL,600247.38
AFG,ALL,1096
ARE,ALL,374151059.4
ARM,ALL,1512964.56
AZE,ALL,8960282.55
BGD,ALL,629476.14
BHR,ALL,2999931.47
BRN,ALL,9810.87
CHN,ALL,315181930.6
CYP,ALL,2028672.74
GEO,ALL,2331858.9
HKG,ALL,76439341.34
IDN,ALL,30596964.23
IND,ALL,135562315.1
IRN,ALL,36885463.9
IRQ,ALL,24285
ISR,ALL,35784936.06
JOR,ALL,6376113.25
JPN,ALL,69896335.94
KAZ,ALL,25008171.64
KGZ,ALL,447271.55
KHM,ALL,143484
KOR,ALL,61903217.13
KWT,ALL,2121517.39
LAO,ALL,3570.27
LBN,ALL,43997244.38
LKA,ALL,3200317.28
MAC,ALL,413805.98
MDV,ALL,2996
MMR,ALL,28230
MNG,ALL,315864.73
MYS,ALL,175593602.2
OMN,ALL,2353736.51
PAK,ALL,35415412.64
PHL,ALL,23706360.02
PSE,ALL,6339823
QAT,ALL,190992.36
SAU,ALL,26326049.89
SGP,ALL,368791711.1
SYR,ALL,2996057.07
THA,ALL,37192689.52
TJK,ALL,453280.24
TKM,ALL,364682
TUR,ALL,442658825.8
UZB,ALL,2173528
VNM,ALL,12414603.05
XXB,ALL,6531713.87
YEM,ALL,31914
ALB,ALL,590793.83
AND,ALL,14503
AUT,ALL,435925225.2
BGR,ALL,104612701
BIH,ALL,14545763.26
BLR,ALL,39856232.55
BLX,ALL,2887258257
CHE,ALL,883083033.9
CZE,ALL,249085585.1
DEU,ALL,4212951702
DNK,ALL,145496830.1
ESP,ALL,432232103.9
EST,ALL,6131142.17
FIN,ALL,73024653.71
FRA,ALL,1392641822
GBR,ALL,828853034.9
GRC,ALL,34883829.09
HRV,ALL,77693519.4
HUN,ALL,129145890.4
IRL,ALL,325225914.4
ISL,ALL,2394052.53
ITA,ALL,1782380059
LTU,ALL,113514250.5
LVA,ALL,32561614.97
MDA,ALL,3897084.36
MKD,ALL,10892964.93
MLT,ALL,6127398.59
MNE,ALL,708847.41
NLD,ALL,1507895077
NOR,ALL,43828995.4
POL,ALL,1467914575
PRT,ALL,27522556.41
ROU,ALL,58812070.43
RUS,ALL,432265496.9
SMR,ALL,18954
SRB,ALL,49922663.22
SVK,ALL,189489280.9
SVN,ALL,17670380.61
SWE,ALL,259914506.8
UKR,ALL,154706947.3
ABW,ALL,278855.68
AIA,ALL,1591.86
ATG,ALL,1213818.14
BHS,ALL,1877.74
BLM,ALL,20104
BLZ,ALL,64405
BMU,ALL,1034
BRB,ALL,445739.41
CAN,ALL,1393220140
CRI,ALL,9553365.55
CUB,ALL,13024.88
CUW,ALL,15184
DMA,ALL,51697.68
DOM,ALL,6587379.49
GRD,ALL,238031.63
GTM,ALL,10443915.75
HND,ALL,100320.49
JAM,ALL,519580.79
MEX,ALL,604278381.5
NIC,ALL,49455.62
PAN,ALL,1810944.42
SLV,ALL,5405919.14
TCA,ALL,23502.61
TTO,ALL,8000529.93
USA,ALL,1592107605
VCT,ALL,124507.48
VGB,ALL,33207.74
ASM,ALL,2293
AUS,ALL,181865917.9
FJI,ALL,121307.32
GUM,ALL,37626.35
MHL,ALL,965947.03
NCL,ALL,280234.33
NRU,ALL,32530.7
NZL,ALL,92121374.96
PNG,ALL,6362.13
PYF,ALL,46824
SLB,ALL,2480
TKL,ALL,8948.94
VUT,ALL,3522.01
WSM,ALL,11890
ARG,ALL,135303121.8
BOL,ALL,129492.06
BRA,ALL,96617182.01
CHL,ALL,20209284.86
COL,ALL,60987956.63
ECU,ALL,20759436.71
GUY,ALL,8466.95
PER,ALL,16059292.01
PRY,ALL,56329.78
SUR,ALL,2530
URY,ALL,3183549.21
VEN,ALL,1550129
DEU,AGO,162099.31
DEU,BEN,1924
DEU,CIV,189547.34
DEU,CMR,51769.43
DEU,COD,6203
DEU,CPV,12588.12
DEU,DZA,15492811
DEU,EGY,6545877.04
DEU,ETH,301259.99
DEU,GHA,37056
DEU,GNQ,12268
DEU,KEN,579615
DEU,LBR,418881
DEU,LBY,2882918
DEU,MAR,1814500.75
DEU,MDG,68383.32
DEU,MLI,10704
DEU,MOZ,7386.11
DEU,MUS,1244836.67
DEU,MWI,10535.86
DEU,NER,8692.74
DEU,NGA,567502
DEU,RWA,7223.11
DEU,SDN,3299.89
DEU,SEN,39398
DEU,SLE,280440
DEU,SYC,220146.84
DEU,TGO,21219.88
DEU,TUN,2486852.4
DEU,TZA,30909.17
DEU,UGA,106548
DEU,ZAF,11280774.5
DEU,ZMB,24150.03
DEU,ZWE,254383.11
DEU,AFG,80485.17
DEU,ARE,34521056
DEU,ARM,1656554.81
DEU,AZE,3614349.76
DEU,BGD,36241
DEU,BHR,1948231.22
DEU,BRN,337339.52
DEU,CHN,47399205.83
DEU,CYP,3682984.57
DEU,GEO,1381254.46
DEU,HKG,40565212.04
DEU,IDN,3644921
DEU,IND,2969145.59
DEU,IRN,4259008
DEU,IRQ,3089400
DEU,ISR,13474600.6
DEU,JOR,1861102.69
DEU,JPN,13478444.16
DEU,KAZ,12837850.44
DEU,KGZ,587945.73
DEU,KHM,54003
DEU,KOR,19439470.03
DEU,KWT,6185043.66
DEU,LAO,155282
DEU,LBN,10516285
DEU,LKA,746574.07
DEU,MDV,458944.64
DEU,MMR,8948
DEU,MNG,5413842.11
DEU,MYS,5018788.74
DEU,NPL,115171.72
DEU,OMN,2553815.9
DEU,PAK,465082.09
DEU,PHL,3744798
DEU,PRK,156521
DEU,PSE,359869.61
DEU,QAT,4990269.65
DEU,SAU,26273895.18
DEU,SGP,16769645.63
DEU,SYR,33662
DEU,THA,6102977.39
DEU,TJK,32497
DEU,TKM,526558
DEU,TUR,37250128.3
DEU,UZB,534084
DEU,VNM,3367218.51
DEU,XXB,8742726.99
DEU,YEM,173081.19
DEU,ALB,3318873.19
DEU,AND,634438
DEU,AUT,312404157
DEU,BGR,42927899.14
DEU,BIH,7362580.51
DEU,BLR,4618192.74
DEU,BLX,191676444
DEU,CHE,116192619.8
DEU,CZE,105023059.6
DEU,DNK,110321936.8
DEU,ESP,144796623.7
DEU,EST,5083128.8
DEU,FIN,29756622.58
DEU,FRA,528898998
DEU,GBR,509057636.6
DEU,GRC,38206693.11
DEU,HRV,41629164.82
DEU,HUN,61532324.7
DEU,IRL,37032481.62
DEU,ISL,2375190.54
DEU,ITA,229778802.4
DEU,LTU,21852720.46
DEU,LVA,8543535.72
DEU,MDA,1280713.69
DEU,MKD,2749714.82
DEU,MLT,1304417.64
DEU,MNE,874492.32
DEU,NLD,259628568.4
DEU,NOR,37441706.81
DEU,POL,273443398.4
DEU,PRT,43002303.43
DEU,ROU,75334397.23
DEU,RUS,100323233
DEU,SMR,125959
DEU,SRB,6964166.75
DEU,SVK,55835875.84
DEU,SVN,30666548.42
DEU,SWE,64969112.57
DEU,UKR,8283496.87
DEU,ABW,18590
DEU,BLZ,2490.41
DEU,BRB,35561.91
DEU,CAN,45720336.18
DEU,CRI,548067.45
DEU,CUB,38283
DEU,CUW,131406
DEU,DOM,555714.45
DEU,GRL,195552.01
DEU,GTM,917635.96
DEU,HND,29617
DEU,JAM,8261
DEU,MAF,3111
DEU,MEX,9964353.31
DEU,NIC,32335.34
DEU,PAN,1244280.3
DEU,SLV,64910.81
DEU,TTO,73860
DEU,USA,134704026.3
DEU,VCT,3983.57
DEU,AUS,74025226.8
DEU,FJI,44003.22
DEU,GUM,36023
DEU,NCL,24398.06
DEU,NZL,4726390.03
DEU,PLW,44405.59
DEU,PYF,570338.81
DEU,ARG,1174928.87
DEU,BOL,40006.24
DEU,BRA,12886895.56
DEU,CHL,8674229.23
DEU,COL,1746316.57
DEU,ECU,398890.57
DEU,PER,860235.53
DEU,PRY,716557.71
DEU,SUR,116266
DEU,URY,507855.86
DEU,VEN,16910
FRA,AGO,6229.91
FRA,BDI,5992.02
FRA,BEN,365785.57
FRA,BFA,344662.19
FRA,CAF,18036.95
FRA,CIV,2017638.44
FRA,CMR,740908.55
FRA,COD,53756
FRA,COG,551963
FRA,COM,95114
FRA,CPV,11582.32
FRA,DJI,542971
FRA,DZA,7686802.9
FRA,EGY,699144.46
FRA,ETH,2279.35
FRA,GAB,1432630
FRA,GHA,52220
FRA,GIN,99387.11
FRA,GMB,1381
FRA,GNQ,100384
FRA,LBR,3550
FRA,LBY,1595305
FRA,MAR,3831230.39
FRA,MDG,309648.54
FRA,MLI,287085
FRA,MOZ,16568.22
FRA,MRT,197996
FRA,MUS,2057862.11
FRA,MWI,2962.46
FRA,NER,240598.5
FRA,NGA,67889
FRA,RWA,8420.88
FRA,SDN,1841
FRA,SEN,1391607.77
FRA,SLE,69233.46
FRA,STP,17426.59
FRA,SYC,265880.34
FRA,TCD,52528
FRA,TGO,324778.26
FRA,TUN,818741.01
FRA,TZA,9065.91
FRA,UGA,1100.6
FRA,ZAF,5262816.42
FRA,ZMB,37805.74
FRA,AFG,43764.84
FRA,ARE,5902688
FRA,ARM,242526.12
FRA,AZE,197655.67
FRA,BHR,1160892.34
FRA,BRN,1765.61
FRA,CHN,10723827.82
FRA,CYP,187727.36
FRA,GEO,230674.59
FRA,HKG,8950311.26
FRA,IDN,745731
FRA,IND,203528.52
FRA,IRN,131259
FRA,IRQ,53777
FRA,ISR,1000648.52
FRA,JOR,727035.33
FRA,JPN,40563643.49
FRA,KAZ,175821.86
FRA,KGZ,5306.74
FRA,KHM,182878.15
FRA,KOR,14037782.87
FRA,KWT,2408229.51
FRA,LBN,1261908
FRA,LKA,458238.8
FRA,MAC,230433.89
FRA,MDV,14047.13
FRA,MNG,105204.1
FRA,MYS,903409.48
FRA,NPL,36380.19
FRA,OMN,9369254.76
FRA,PAK,75466
FRA,PHL,268530.58
FRA,PSE,159084
FRA,QAT,4399493.05
FRA,SAU,2017444.35
FRA,SGP,7411852.72
FRA,SYR,4793
FRA,THA,2563935.01
FRA,TKM,6719
FRA,TUR,1344750.88
FRA,UZB,12767
FRA,VNM,200591.93
FRA,XXB,4870793.74
FRA,ALB,164702.46
FRA,AND,641817
FRA,AUT,13472403.28
FRA,BGR,869441.55
FRA,BIH,166484.59
FRA,BLR,525253.42
FRA,BLX,159411252.4
FRA,CHE,31415058.35
FRA,CZE,12156170.69
FRA,DEU,198310941.5
FRA,DNK,11071459.35
FRA,ESP,149093832.3
FRA,EST,901734.44
FRA,FIN,4080782.28
FRA,GBR,219820458.2
FRA,GRC,5222747.81
FRA,HRV,884134.85
FRA,HUN,2716208.15
FRA,IRL,14221494.32
FRA,ISL,675582.25
FRA,ITA,89195047.16
FRA,LTU,2062508.59
FRA,LVA,565717.09
FRA,MDA,222282.62
FRA,MKD,151575.64
FRA,MLT,475726.99
FRA,MNE,22039.57
FRA,NLD,108617421.1
FRA,NOR,7466296.44
FRA,POL,16903319.19
FRA,PRT,21217514.44
FRA,ROU,3075496.17
FRA,RUS,11626930.28
FRA,SRB,535810.05
FRA,SVK,10969562.09
FRA,SVN,1099899.99
FRA,SWE,18075785.09
FRA,UKR,640511.08
FRA,ATG,3272.62
FRA,BHS,1414.15
FRA,BLM,179711
FRA,BMU,5573
FRA,BRB,12430.68
FRA,CAN,34054823.84
FRA,CRI,173694.78
FRA,CUB,9832
FRA,CUW,4483
FRA,DOM,111967.29
FRA,GRL,26520.11
FRA,GTM,113621.57
FRA,HND,2226
FRA,HTI,45131
FRA,LCA,25769
FRA,MAF,250734
FRA,MEX,1988951.02
FRA,NIC,14158.14
FRA,PAN,174935.75
FRA,SLV,45566.77
FRA,SPM,219074
FRA,USA,40907436.14
FRA,VCT,1255.21
FRA,VGB,8663
FRA,AUS,23816771.14
FRA,FJI,66896.85
FRA,NCL,4323154.98
FRA,NZL,2760369.6
FRA,PYF,2443650.26
FRA,VUT,318587
FRA,WLF,113964
FRA,ARG,415493.72
FRA,BRA,3805318.85
FRA,CHL,1004942.5
FRA,COL,760593.02
FRA,ECU,1146
FRA,PER,213207.82
FRA,PRY,43166
FRA,URY,134529.88
BLX,AGO,780043.78
BLX,BDI,37899
BLX,BEN,20937.93
BLX,BFA,3973
BLX,CAF,32192
BLX,CIV,112408.32
BLX,CMR,186762.71
BLX,COD,1201130
BLX,COG,40849
BLX,CPV,15292.3
BLX,DJI,110247
BLX,DZA,2283395.68
BLX,EGY,2941213.36
BLX,ETH,177342.76
BLX,GAB,58468
BLX,GHA,102212
BLX,GIN,9965.47
BLX,GMB,5120
BLX,KEN,556026
BLX,LBY,1364786
BLX,MAR,2603188.05
BLX,MDG,61303.67
BLX,MLI,14334
BLX,MOZ,31085.05
BLX,MRT,62670
BLX,MUS,1043822.87
BLX,MWI,3786.83
BLX,NER,20977.34
BLX,NGA,154951
BLX,RWA,133802.37
BLX,SDN,58842
BLX,SEN,411055.78
BLX,SLE,82852.47
BLX,SYC,178609.41
BLX,TCD,3917
BLX,TGO,20507.12
BLX,TUN,468310.09
BLX,TZA,35502.88
BLX,UGA,42477.46
BLX,ZAF,11932974.06
BLX,ZMB,20461.32
BLX,ZWE,6619.66
BLX,ATF,6360
BLX,ARE,19300674
BLX,ARM,371699.41
BLX,AZE,732155.64
BLX,BGD,1833
BLX,BHR,1722080.98
BLX,BRN,5122
