country_origin_id,country_destination_id,import_val
ALL,AGO,22010791.4
ALL,BDI,180629.26
ALL,BEN,3396356.72
ALL,BFA,2796875.65
ALL,CAF,753512.19
ALL,CIV,4012760.41
ALL,CMR,4482558.23
ALL,COD,5683554
ALL,COG,6702269
ALL,COM,254454
ALL,CPV,1284458.89
ALL,DJI,2152558
ALL,DZA,93647323.2
ALL,EGY,84553030.5
ALL,ERI,3698
ALL,ETH,3550471.76
ALL,GAB,5369924
ALL,GHA,8058345
ALL,GIN,2865782.17
ALL,GMB,2748800
ALL,GNB,813988
ALL,GNQ,2421948
ALL,KEN,9839612
ALL,LBR,2920304
ALL,LBY,85734842
ALL,MAR,34151016.34
ALL,MDG,1371693.11
ALL,MLI,2398091
ALL,MOZ,8002481.04
ALL,MRT,3789542
ALL,MUS,16192893.36
ALL,MWI,1363976.79
ALL,NER,2324426.26
ALL,NGA,11229211
ALL,RWA,680979.41
ALL,SDN,13373085.85
ALL,SEN,4508363.04
ALL,SHN,558368
ALL,SLE,4198839.82
ALL,SOM,584455
ALL,SSD,132236
ALL,STP,157816.5
ALL,SYC,2607789.22
ALL,TCD,1025283
ALL,TGO,2105737.79
ALL,TUN,11590929.4
ALL,TZA,2603186.52
ALL,UGA,2433747.98
ALL,ZAF,89991452.99
ALL,ZMB,6526316.54
ALL,ZWE,5813210.16
ALL,ATF,20290
ALL,AFG,93837119.5
ALL,ARE,375887979
ALL,ARM,35425866.37
ALL,AZE,67187790.93
ALL,BGD,8122426
ALL,BHR,42111269.27
ALL,BRN,21748818.18
ALL,BTN,1545610
ALL,CHN,428891067
ALL,CXR,24616
ALL,CYP,32072975.06
ALL,GEO,47223037.01
ALL,HKG,401678925.6
ALL,IDN,108331393
ALL,IND,86741940.18
ALL,IRN,18348747
ALL,IRQ,119889128
ALL,ISR,156973002.8
ALL,JOR,71274990.96
ALL,JPN,547500049.3
ALL,KAZ,170340393.2
ALL,KGZ,44446285.65
ALL,KHM,2121690.25
ALL,KOR,295013422
ALL,KWT,147249334.2
ALL,LAO,1901537
ALL,LBN,81246430
ALL,LKA,16022395.6
ALL,MAC,41177209.89
ALL,MDV,11359904.24
ALL,MMR,9136097
ALL,MNG,41032654.73
ALL,MYS,126396833.4
ALL,NPL,11907168
ALL,OMN,79151052.84
ALL,PAK,15315925.81
ALL,PHL,106463918.9
ALL,PRK,1953964
ALL,PSE,44948181.65
ALL,QAT,91519484.19
ALL,SAU,528644885.3
ALL,SGP,219445478
ALL,SYR,16478627
ALL,THA,111826807
ALL,TJK,27334104
ALL,TKM,30433746
ALL,TLS,208161
ALL,TUR,106217936.8
ALL,UZB,21386223
ALL,VNM,28183898.19
ALL,XXB,127806091.2
ALL,YEM,18824537.84
ALL,ALB,16621297.01
ALL,AND,9296979
ALL,AUT,495330957.1
ALL,BGR,112239927.1
ALL,BIH,77189919.8
ALL,BLR,87579160.05
ALL,BLX,720394674.4
ALL,CHE,244535187.4
ALL,CZE,398037246.5
ALL,DEU,2048331324
ALL,DNK,305644850.1
ALL,ESP,563241575.6
ALL,EST,42283406.6
ALL,FIN,123692540.4
ALL,FRA,2028018530
ALL,GBR,2067483083
ALL,GIB,2435736
ALL,GRC,119717580
ALL,HRV,134245082.4
ALL,HUN,209747295.4
ALL,IRL,327800623.2
ALL,ISL,14681861.32
ALL,ITA,553192328.7
ALL,LTU,99036386.03
ALL,LVA,48786247.23
ALL,MDA,17149245.5
ALL,MKD,35622396.16
ALL,MLT,24410427.24
ALL,MNE,22556232.31
ALL,NLD,1138023535
ALL,NOR,178270450.9
ALL,POL,644668141.5
ALL,PRT,191760023.6
ALL,ROU,216687058.2
ALL,RUS,356336312
ALL,SMR,1319329
ALL,SRB,64396271.41
ALL,SVK,235984438.3
ALL,SVN,96491418.95
ALL,SWE,333352451.9
ALL,UKR,76685939.4
ALL,ABW,4406871.29
ALL,AIA,19560
ALL,ATG,1545634.63
ALL,BES,139158
ALL,BHS,3921653.78
ALL,BLM,180821
ALL,BLZ,2165144.95
ALL,BMU,3045138.07
ALL,BRB,6188173.06
ALL,CAN,948614952.6
ALL,CRI,30483217.82
ALL,CUB,4307027
ALL,CUW,2444366
ALL,CYM,674592
ALL,DMA,279028
ALL,DOM,23064294.55
ALL,GRD,226579
ALL,GRL,5061655.67
ALL,GTM,28493824.18
ALL,HND,16852604
ALL,HTI,1834200
ALL,JAM,9902692.68
ALL,KNA,176677
ALL,LCA,527373
ALL,MAF,1394083
ALL,MEX,309103372.3
ALL,MSR,6218
ALL,NIC,10593093.68
ALL,PAN,42368447.93
ALL,SLV,18767316.57
ALL,SPM,296777
ALL,TCA,207709
ALL,TTO,12358514
ALL,USA,2471761889
ALL,VCT,997078.29
ALL,VGB,367671
ALL,ASM,257725
ALL,AUS,478330053.4
ALL,COK,574968
ALL,FJI,3854136.43
ALL,FSM,38812
ALL,GUM,1565700
ALL,KIR,21541
ALL,MHL,68447
ALL,MNP,22139
ALL,NCL,8042371.44
ALL,NFK,16582
ALL,NIU,45435
ALL,NRU,47544
ALL,NZL,146915147.7
ALL,PLW,1324746.03
ALL,PNG,3075226
ALL,PYF,7428526.24
ALL,SLB,567714.01
ALL,TKL,13029
ALL,TON,131060
ALL,TUV,38076
ALL,VUT,691958
ALL,WLF,117489
ALL,WSM,351238.25
ALL,ARG,41746733.47
ALL,BOL,22044861.56
ALL,BRA,175467864.6
ALL,CHL,78376958.36
ALL,COL,50102128.74
ALL,ECU,28662906.8
ALL,FLK,567442
ALL,GUY,3348973.6
ALL,PER,28076719.09
ALL,PRY,26496101.15
ALL,SUR,3297263
ALL,URY,28312921
ALL,VEN,29876748
GHA,GBR,18513.06
KEN,GBR,2167224.26
MDG,GBR,545533.18
NGA,GBR,23827.52
SLE,GBR,1899.81
UGA,GBR,127398
ZAF,GBR,472619.27
ARE,GBR,405286.57
BHR,GBR,11997
CHN,GBR,6909835
CYP,GBR,1035
HKG,GBR,67793.25
IND,GBR,24027.07
ISR,GBR,1225127.09
JOR,GBR,12997
JPN,GBR,27787.15
KOR,GBR,27217.67
LBN,GBR,231423.17
LKA,GBR,242198.58
MYS,GBR,10289.39
PHL,GBR,81126.93
PSE,GBR,41689
SGP,GBR,285609.3
THA,GBR,163117.34
TUR,GBR,2984022.49
VNM,GBR,5708.5
XXB,GBR,14660.14
AUT,GBR,7809143.26
BGR,GBR,1601969.49
BLX,GBR,269967600.2
CHE,GBR,32010863.35
CZE,GBR,10422049.96
DEU,GBR,509057636.6
DNK,GBR,3850898.67
ESP,GBR,27114126.62
EST,GBR,8136.94
FIN,GBR,447265.66
FRA,GBR,219820458.2
GRC,GBR,2987572.86
HRV,GBR,37683.59
HUN,GBR,11465064.95
IRL,GBR,246377537.7
ISL,GBR,16596.14
ITA,GBR,103222619.5
LTU,GBR,19959067.72
LVA,GBR,1056788.42
MLT,GBR,945628
NLD,GBR,192999493.4
NOR,GBR,135725.55
POL,GBR,306295169.1
PRT,GBR,167466.02
ROU,GBR,2678000.09
RUS,GBR,21462
SRB,GBR,392226.76
SVK,GBR,29583496.41
SVN,GBR,18748.36
SWE,GBR,8509426.89
UKR,GBR,3667.01
BLZ,GBR,7438
