country_origin_id,country_destination_id,export_val
CMR,CHN,4653818.41
CMR,IDN,16183475
CMR,JPN,1044329.81
CMR,MYS,54340640.89
CMR,SGP,28920572.52
CMR,THA,3343043.59
CMR,TUR,2286469.93
CMR,BLX,32174173.4
CMR,CHE,10582.24
CMR,DEU,8764295.94
CMR,ESP,32960136.69
CMR,EST,301775.86
CMR,FRA,12094287.59
CMR,ITA,21876.82
CMR,NLD,381809948.7
CMR,CAN,53801.97
NGA,NER,4096.07
NGA,ARM,685856.52
NGA,CHN,3026662.74
NGA,IND,3305752.88
NGA,LKA,75737.09
NGA,MYS,11374919.3
NGA,SGP,4311.57
NGA,TUR,3025373.37
NGA,AUT,2087010.84
NGA,BLX,22535744.68
NGA,DEU,72566431.61
NGA,ESP,8205476.35
NGA,EST,3943515.08
NGA,FRA,8472493.04
NGA,ITA,7439236.63
NGA,NLD,338915911.3
NGA,RUS,5616463.79
NGA,CAN,6880952.76
NGA,USA,5995906.66
ECU,DZA,1351130
ECU,TUN,157000
ECU,ZAF,8030.72
ECU,ARE,1642
ECU,ARM,250374.08
ECU,CHN,18243400.2
ECU,HKG,1190
ECU,IDN,11754648
ECU,IND,14085958.29
ECU,JPN,11192176.22
ECU,KOR,961567.59
ECU,MYS,58651456.74
ECU,SGP,135622.88
ECU,THA,818231.85
ECU,TUR,298020
ECU,XXB,16907.55
ECU,AUT,159981.34
ECU,BLX,28973203.82
ECU,CHE,35838727.98
ECU,CZE,37105.3
ECU,DEU,40016582.86
ECU,ESP,11536015.48
ECU,EST,16573151.55
ECU,FIN,8961.38
ECU,FRA,10545653.65
ECU,GBR,188741.24
ECU,ITA,15259374.49
ECU,NLD,80035412.33
ECU,NOR,2967.12
ECU,POL,6536511.69
ECU,RUS,71392.02
ECU,SVN,2246.85
ECU,SWE,2678.4
ECU,CAN,34659327.8
ECU,CUB,880136
ECU,MEX,49573944.27
ECU,PAN,142963.27
ECU,USA,279828143.2
ECU,AUS,101548.26
ECU,NZL,30093.37
ECU,ARG,41708.18
ECU,BOL,274144.05
ECU,CHL,1625.19
ECU,COL,12741533.67
ECU,PER,205171.2
PER,DZA,282667.12
PER,ZAF,7459.29
PER,BHR,5946.83
PER,CHN,137352
PER,HKG,380912
PER,IDN,1956818
PER,IND,3549870.4
PER,ISR,133292.24
PER,JPN,1188750.63
PER,KOR,2676.34
PER,MYS,1478111.18
PER,SGP,912668.05
PER,XXB,1964.45
PER,AUT,36508.13
PER,BGR,52368.62
PER,BIH,2247.36
PER,BLX,31617197.55
PER,CHE,2207135.04
PER,CZE,15100.13
PER,DEU,9442873.32
PER,DNK,128655.57
PER,ESP,8336100.04
PER,EST,9964171.55
PER,FIN,20385.61
PER,FRA,2243833.42
PER,GBR,970191.01
PER,GRC,1725
PER,HRV,4492.38
PER,IRL,5289.15
PER,ISL,13699.73
PER,ITA,16956811.76
PER,MKD,2388.5
PER,MNE,3022.19
PER,NLD,83730795.67
PER,NOR,9163.14
PER,POL,56593.98
PER,PRT,22302.39
PER,RUS,8515463.01
PER,SRB,4661.08
PER,SVK,3144.47
PER,SVN,6303.54
PER,SWE,6002.93
PER,UKR,455279.61
PER,CAN,8001775.79
PER,MEX,2184015.75
PER,USA,9233023.72
PER,AUS,504184.02
PER,NZL,33470.08
PER,BRA,1824.81
PER,CHL,17890.45
PER,COL,470601.03
PER,ECU,2161.99
PER,URY,4046.03
DOM,ZAF,2503
DOM,IDN,177811
DOM,IND,12513430.93
DOM,JPN,3033642.39
DOM,KOR,3110.63
DOM,MYS,124064.41
DOM,AUT,144001.73
DOM,BLX,31092113.82
DOM,CHE,140339.2
DOM,CZE,22014.99
DOM,DEU,19590690.4
DOM,ESP,16449464.01
DOM,EST,89318.29
DOM,FIN,3916.15
DOM,FRA,32055328.63
DOM,GBR,11466.77
DOM,ITA,7451980.11
DOM,NLD,40656434.74
DOM,NOR,2456.4
DOM,POL,6418896.75
DOM,RUS,92214.04
DOM,BRB,2449.97
DOM,CAN,20173287.65
DOM,JAM,1465
DOM,MEX,5560371.64
DOM,USA,79880340.97
DOM,AUS,19201.95
DOM,NZL,15529.51
NLD,ISR,87013.65
NLD,JPN,1343348
NLD,KAZ,77545.35
NLD,KOR,37682
NLD,MYS,13295
NLD,TUR,161726
NLD,XXB,1221
NLD,AUT,393462.93
NLD,BGR,53699.03
NLD,BLX,17770304.73
NLD,CHE,631236.16
NLD,CZE,106673
NLD,DEU,95873487.26
NLD,DNK,13323.31
NLD,ESP,2822789.24
NLD,EST,10973.47
NLD,FIN,58345
NLD,FRA,7166843.6
NLD,GBR,522092.36
NLD,GRC,8889905.55
NLD,HRV,2297702.7
NLD,HUN,105197
NLD,IRL,139142
NLD,ITA,13896663.39
NLD,LTU,20919
NLD,MLT,3378
NLD,NOR,6096.92
NLD,POL,2881368.28
NLD,PRT,30676
NLD,ROU,4490.16
NLD,RUS,85154
NLD,SVK,19638
NLD,SVN,1483.02
NLD,SWE,139088.96
NLD,PAN,101528
NLD,USA,202566.1
NLD,AUS,41506.5
NLD,PER,48536
BLX,MAR,16514.8
BLX,ZAF,8182.92
BLX,ARE,1546
BLX,CHN,1212.65
BLX,HKG,6052
BLX,IDN,285151
BLX,IND,1883.04
